,Judul,Lokasi,Kamar,Toilet,Luas,Harga
519,Cluster Fontana - Cicaheum. 15mnt Gedung Sate,"Jl. Abdul Hamid - Ciaheum, Arcamanik, Bandung, Jawa Barat",3 ,2 ,62 m²,"1,09 M"
520,Taman Kopo Indah 3,"Taman Kopo Indah, Bandung, Jawa Barat",3 ,2 ,120 m²,"1,25 M"
521,Rumah Bandung,"Dalam Komplek DPR Cileunyi, Cileunyi, Bandung, Jawa Barat",3 ,2 ,123 m²,800 jt
522,Buah batu,"Jalan Suryalaya, Buahbatu, Bandung, Jawa Barat",,,136 m²,"1,975 M"
523,Komplek Pharmindo,"Jl Raya Cibeureum, Cimahi Selatan, Bandung Kulon, Bandung, Jawa Barat",2 ,2 ,180 m²,"1,65 M"
524,Buahbatu Regency,"Jl. Terusan Buah Batu, Buah Batu, Bandung, Buahbatu, Bandung, Jawa Barat",2 ,1 ,50 m²,280 jt
525,Cibaduyut Permai,"Jl Raya Cibaduyut, Cibaduyut, Bojongloa Kidul, Bojongloa Kidul, Bandung, Jawa Barat",3 ,2 ,80 m²,420 jt
526,Taman Kopo Katapang,"Jl Terusan Kopo KM 12,8, Soreang, Bandung, Soreang, Bandung, Jawa Barat",2 ,1 ,50 m²,311 jt
527,Cibaduyut Residence,"Jl Raya Cibaduyut, Cibaduyut, Bojongloa Kidul, Bojongloa Kidul, Bandung, Jawa Barat",2 ,1 ,80 m²,280 jt
528,Rumah sayap Pajajaran Pasteur,"Pasteur,Pajajaran,Cicendo,Paskal, Cicendo, Bandung, Jawa Barat",6 ,4 ,404 m²,4 M
529,"RUMAH DI BANDUNG DEKAT TOL KOPO, FULL FURNISHED","Jl.cicangkudu, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
530,RUMAH DI BANDUNG DEKAT BORMA KATAPANG,"Jalan cicangkudu terusan Cibaduyut, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
531,Dijual cepat rumah minimalis di cluster elit Awiligar Cikutra Cigadung Dago,"Jl awiligar, Cikutra, Bandung, Jawa Barat",3 ,2 ,70 m²,"1,35 M"
532,Jual Cepat Taman Kopo Katapang Soreang Siap Huni,"Jalan Raya Kopo Katapang, Soreang, Bandung, Jawa Barat",2 ,1 ,50 m²,650 jt
533,JARANG ADA RUMAH BARU 2 LANTAI DI CLUSTER SURYALAYA HARGA DIBAWAH 2M,"Suryalaya, Bkr Kembar, Bandung, Jawa Barat",3 ,3 ,136 m²,"1,975 M"
534,Kota Baru Parahyangan,"6 Jalan Panyawangan Kav 6-B, Kota Baru Parahyangan, Bandung, Jawa Barat",3 ,3 ,75 m²,1 M
535,"TURUN HARGA! ! Dijual RUMAH Lux di Komplek Setraduta, Bandung Utara","Setra Duta, Setra Duta, Bandung, Jawa Barat",6 ,6 ,409 m²,15 M
536,DIJUAL RUMAH 100JT-AN DI BANDUNG LOKASI STRATEGIS,"Cimekar, Kec. Cileunyi, Kabupaten Bandung, Cibiru, Bandung, Jawa Barat",1 ,1 ,30 m²,195 jt
537,DIJUAL RUMAH LOKASI STRATEGIS DEKAT EXIT TOL CILEUNYI 200JT-AN,"Cimekar, Kec. Cileunyi, Kabupaten Bandung, Cibiru, Bandung, Jawa Barat",2 ,1 ,36 m²,275 jt
538,DIJUAL RUMAH 100JT-AN DAERAH BANDUNG,"Cimekar, Kec. Cileunyi, Kabupaten Bandung, Cibiru, Bandung, Jawa Barat",1 ,1 ,30 m²,195 jt
539,"Rumah baru di Setra Duta, Luas dan Bagus, 2 Lantai","Setra Duta, Bandung, Jawa Barat",4 ,3 ,185 m²,"3,452 M"
540,Pasir Pogor Indah,"Jl Ciwastra, Cijaura, Buah Batu Bandung, Buahbatu, Bandung, Jawa Barat",3 ,2 ,120 m²,849 jt
541,Rukost Dijual Cepat di Gedebage Dekat Summarecon Bandung,"Rancabolang, Gedebage, Bandung, Jawa Barat",10 ,10 ,250 m²,975 jt
542,Dijual Rumah Baru Cisaranten Mulyagolf Residence,"Arcamanik, Bandung, Jawa Barat",2 ,1 ,50 m²,550 jt
543,Dijual Rumah LUX Terawat Mekar Wangi Posisi Hook,"Mekar Wangi, Bandung, Jawa Barat",5 ,5 ,450 m²,"5,7 M"
544,RUMAH MINIMALIS HARGA MENARIK SUMMARECON BANDUNG,"Summarecon, Gedebage, Bandung, Jawa Barat",4 ,4 ,130 m²,"2,3 M"
545,Rumah Menarik Antapani dalam Komplek Tanah Luas,"Antapani, Bandung, Jawa Barat",4 ,3 ,142 m²,"2,3 M"
546,Sukahaji,"Sukahaji, Sukajadi, Bandung, Jawa Barat",4 ,3 ,450 m²,"10,75 M"
547,Calista dago,"Cigadung, Dago, Bandung, Jawa Barat",4 ,4 ,147 m²,"3,3 M"
548,Dijual rumah minimalis di Ligar deket Cigadung Dago Bandung utara,"Jl bukit ligar, Cigadung, Bandung, Jawa Barat",4 ,2 ,160 m²,"1,7 M"
549,Permata Kopo,"Jl. Sukamenak, Sukamenak, Bandung, Margahayu, Bandung, Jawa Barat",1 ,1 ,50 m²,311 jt
550,Dijual Cepat Rumah Minimalis dekat Kopo Bandung,"Jl cicangkudu sukamukti, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,160 jt
551,Dijual rumah hitung tanah Setiabudi Gegerkalong,"Jl Gegerkalong, Setiabudi, Bandung, Jawa Barat",8 ,5 ,700 m²,"4,2 M"
552,Permata Buah Batu,"Jl . Ciganitri, Cijaura (Margasenang), Buah Batu, Buahbatu, Bandung, Jawa Barat",2 ,1 ,50 m²,311 jt
553,Buahbatu Regency,"Jl. Terusan Buah Batu, Buah Batu, Bandung, Buahbatu, Bandung, Jawa Barat",3 ,1 ,60 m²,280 jt
554,Perumhan parmindo,"Bojong cicangkudu, Bandung Selatan, Bandung, Jawa Barat",,,50 m²,300 jt
555,Kopo Permai,". Jl. Raya Cibaduyut, Kopo, Bandung, Jawa Barat",,,80 m²,280 jt
556,Katapang Indah Residence,"Jl Terusan Kopo, Soreang, Bandung, Katapang, Bandung, Jawa Barat",,,72 m²,280 jt
557,Kopo Permai,". Jl. Raya Cibaduyut, Kopo, Bandung, Jawa Barat",2 ,1 ,50 m²,222 jt
558,Katapang Indah Residence,"Jl Terusan Kopo, Soreang, Bandung, Katapang, Bandung, Jawa Barat",2 ,1 ,60 m²,324 jt
559,Pelangi Antapani,". Jl. Terusan Jakarta, Antapani, Bandung, Jawa Barat",2 ,1 ,50 m²,275 jt
560,Rumah Lux Minimalis di Cigadung,"Jl Cigadung Raya, Cigadung, Bandung, Jawa Barat",4 ,3 ,197 m²,"2,5 M"
561,Dijual Rumah Baru Cantik di Setra Sari Bandung,"Setrasari, Bandung, Jawa Barat",4 ,4 ,235 m²,"6,5 M"
562,Dijual rumah Minimalis Modern di Perumahan Taman Anggrek Bandung,"Bojongloa Kaler, Bojongloa Kaler, Bandung, Jawa Barat",4 ,4 ,146 m²,"2,9 M"
563,Dijual Rumah Mewah Strategis di Sayap Dago Bandung,"Dago, Bandung, Jawa Barat",10 ,5 ,650 m²,"30,5 M"
564,Dijual Rumah Luxury di Summarecon Bandung,"Cluster Emily, Gedebage, Bandung, Jawa Barat",5 ,4 ,252 m²,"5,4 M"
565,Bumi Adipura,"Jl. Gedebage, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",2 ,1 ,60 m²,650 jt
566,Graha Puspa,"Jl Sersan Bajuri, Gudangkahuripan, Lembang, Lembang Cibodas, Bandung, Jawa Barat",2 ,2 ,200 m²,900 jt
567,"Rumah 2 lantai, siap huni, Komplek Perumnas, Antapani Bandung","Jalan Antapani Bandung, Antapani, Bandung, Jawa Barat",3 ,3 ,120 m²,760 jt
568,Permata Arcamanik,". Jl. AH. Nasution, Arcamanik, Bandung, Jawa Barat",2 ,1 ,40 m²,250
569,Pesona Bali Residence,"Jl Raya Bojong Soang, Bojong Soang, Bojongsoang, Bandung, Jawa Barat",3 ,1 ,50 m²,300 jt
570,Jual Siap Huni Jingga Residence Soreang 5 menit akses Tol dekat RSUD Soreang,"Gading Tutuka Mainroad Soreang, Soreang, Bandung, Jawa Barat",2 ,1 ,60 m²,860 jt
571,Rumah di dago harga dibawah pasaran,"SUMMER HILLS DAGO, Bandung Utara, Bandung, Jawa Barat",2 ,2 ,55 m²,750 jt
572,Jual rumah dago bandung dekat borma cigadung,"ligar kencana, Cigadung, Bandung, Jawa Barat",3 ,2 ,60 m²,837 jt
573,Dijual Cepat Rumah Terawat Turangga,"Turangga, Bandung, Jawa Barat",5 ,4 ,230 m²,"2,9 M"
574,Rumah dijual di Dago Bandung,"Summer Hills Dago, Cibeunying, Kota Bandung, Cigadung, Bandung, Jawa Barat",4 ,4 ,200 m²,"2,359 M"
575,Rumah dijual dalam kompleks dibuah batu Bandung,"Jl Jl. Guntur sari ll no 29
Buah batu
Bandung, Buahbatu, Bandung, Jawa Barat",4 ,3 ,150 m²,"2,5 M"
576,Rumah Dijual Turangga Buahbatu Hitung Tanah,"Buahbatu,Turangga,suryalaya, Turangga, Bandung, Jawa Barat",6 ,3 ,300 m²,3 M
577,Rumah Murah Sayap Riau Dago,"Riau Re Martadinata, Bandung, Jawa Barat",5 ,2 ,250 m²,"4,5 M"
578,Investasi Penginapan Furnished Selangkah Dari Pintu Tol RSA032302,"Buah Batu, Bandung Timur, Bandung, Jawa Barat",10 ,10 ,1700 m²,23 M
579,sangat butuh terjual cepat rumah bonus tanah antapani,"antapani, Antapani, Bandung, Jawa Barat",3 ,1 ,89 m²,"1,6 M"
580,DIJUAL CEPAT RUMAH KOMPLEK CEMPAKA ARUM,"Gedebage, Gedebage, Bandung, Jawa Barat",4 ,2 ,84 m²,585 jt
581,Dijual Rumah Baru 2 lantai di Setra Duta Bandung dekat Tol Pasteur,"Setra Duta, Bandung, Jawa Barat",3 ,2 ,225 m²,"2,625 M"
582,"Dijual Rumah Luas Sejuk di Sayap Hegarmanah , Bandung","Sayap Ciumbuleuit Hegarmanah Bandung, Ciumbuleuit, Bandung, Jawa Barat",4 ,2 ,275 m²,"9,9 M"
583,Dijual Rumah Baru Minimalis 2 lantai di Setraduta Dago Grande Bandung,"Setra Duta, Bandung, Jawa Barat",4 ,3 ,160 m²,"2,85 M"
584,DIJUAL CEPAT RUMAH LUX DI RESOR DAGO PAKAR,"dago, Dago, Bandung, Jawa Barat",5 ,5 ,500 m²,"6,5 M"
585,Sayap Ciwastra,"Bojongsoang, Bandung, Jawa Barat",2 ,2 ,40 m²,500 jt
586,Sayap Sudirman,"Durman, Andir, Bandung, Jawa Barat",5 ,5 ,250 m²,10 M
587,Rumah Dijual di Lengkong Bandung Hitung Tanah Selangkah ke Flyover Pelajar Pejuang,"Jl Pelajar Pejuang, Lengkong, Bandung, Jawa Barat",4 ,3 ,496 m²,6 M
588,Rumah Dijual di Turangga Bandung Mewah ada Kolam Renang Bagus Terawat High Ceiling Split Level,"Jl Turangga, Turangga, Bandung, Jawa Barat",5 ,5 ,580 m²,"8,3 M"
589,Rumah Bagus Murah Di Mekar Wangi di Bawah Harga Pasar,"Mekar Sari Mekar wangi, Mekar Wangi, Bandung, Jawa Barat",4 ,3 ,300 m²,"3,6 M"
590,Dijual rumah  mewah berkualitas dengan kolam renang di Turangga Kota Bandung,"Buah batu, Buahbatu, Bandung, Jawa Barat",8 ,6 ,580 m²,"8,5 M"
591,Rumah Dijual di Turangga Kota Bandung Semi Furnished Mewah ada Kolam Renang,"Turangga, Turangga, Bandung, Jawa Barat",5 ,3 ,580 m²,"8,3 M"
592,RUMAH MURAJ DALAM CLUSTER CIGADUNG 1 M An murah jarang ada,"Cigadung, Bandung, Jawa Barat",3 ,3 ,120 m²,"1,49 M"
593,Rumah Murah Bandung Bebas Banjir Lokasi Strategis,"Jl. Soreang - Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",9 ,1 ,36 m²,150 jt
594,Rumah Murah Lokasi Strategis Pilar Tanjungsari Bandung,"Jl. Soreang - Banjaran Ds. Tanjungsari, Gatot Subroto, Bandung, Jawa Barat",2 ,1 ,30 m²,125 jt
595,Rumah Murah Kavling Semi Cluster Bandung Selatan,"Jl. Soreang - Banjaran Ds. Tanjungsari, Margaasih, Bandung, Jawa Barat",2 ,1 ,30 m²,125 jt
596,Pilar Tanjungsari Bandung,"Jl. Soreang-Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,30 m²,125 jt
597,Jual Rumah Murah Berkualitas Bandung Pilar Tanjungsari Soreang,"Jl. Soreang - Banjaran Ds. Tanjungsari, Antapani, Bandung, Jawa Barat",2 ,1 ,21 m²,115 jt
598,Pilar Tanjungsari,"Jl. Soreang-Banjaran Ds. Tanjungsari, Margahayu, Bandung, Jawa Barat",3 ,1 ,60 m²,250 jt
599,Bandung Selatan,"Jl. Soreang - Banjaran Ds. Tanjungsari, Margahayu, Bandung, Jawa Barat",2 ,1 ,30 m²,125 jt
600,Bandung Selatan,"Jl. Soreang-Banjaran Ds. Tanjungsari, Antapani, Bandung, Jawa Barat",2 ,1 ,36 m²,150 jt
601,Pilar Tanjungsari Soreang,"Jl. Soreang-Banjaran Ds. Tanjungsari, Soreang, Bandung, Jawa Barat",3 ,1 ,60 m²,250 jt
602,Perumahan dekat Lanud Sulaiman Pusat Kota Bandung,"Katapang Cicangkudu Sukamukti Kab Bandung, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,120 jt
603,Perumahan dekat Borma Katapang & Tol Kopo Pusat Kota Bandung,"Katapang Cicangkudu Sukamukti Kab Bandung, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,120 jt
604,RUMAH DEKAT PUSAT KOTA BANDUNG,"Jalan cicangkudu, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
605,Bukit Ligar Dago Bandung,"Bukit Ligar Dago Bandung, Cimenyan, Bandung, Jawa Barat",3 ,2 ,100 m²,"1,4 M"
606,Di Jual Rumah Pasadena Residence Bandung,"Margahayu, Bandung, Jawa Barat",3 ,2 ,150 m²,"1,575 M"
607,Cafe Dan Villa Ciwidey Jalan Raya Bandung,"Rancabali, Bandung, Jawa Barat",4 ,4 ,221 m²,"4,5 M"
608,Rumah Baru Taman Kopo Indah 5 Bandung,"Taman Kopo Indah, Bandung, Jawa Barat",2 ,1 ,75 m²,"1,46 M"
609,Rumah Istimewa Nyaman Siap Huni Istana Jatinangor Bandung,"Cileunyi, Bandung, Jawa Barat",3 ,1 ,53 m²,700 jt
610,TURUN HARGA RUMAH MEWAH KUALITAS ISTIMEWA DEKAT LEUWI PANJANG,"Leuwisari, Soekarno Hatta, Bandung, Jawa Barat",4 ,3 ,290 m²,"4,4 M"
611,Jual rumah Belanda  sayap Supratman Mainroad,"Bandung Wetan, Bandung, Jawa Barat",10 ,4 ,600 m²,35 M
612,Turun harga Turangga Rumah Baru Lux Super mewah plus Kolam renang Lokasi  Jalan utama,"Turangga, Turangga, Bandung, Jawa Barat",8 ,6 ,500 m²,"8,499 M"
613,Rumah Cluster Strategis di Antapani  Bandung,"Antapani, Bandung, Jawa Barat",3 ,2 ,90 m²,"1,07 M"
614,Rumah Subsidi di Arjasari Bandung Selatan,"Arjasari, Bandung, Jawa Barat",2 ,1 ,30 m²,"165,025 jt"
615,Dijual Rumah Besar Komplek Cikutra Baru Sukaluyu Bandung,"Cikutra Sukaluyu, Cikutra, Bandung, Jawa Barat",6 ,4 ,300 m²,"5,1 M"
616,Turun harga Rumah minimalis Komplek Bukit Ligar Cigadung dekat dago resort,"Cigadung bukit ligar, Cigadung, Bandung, Jawa Barat",4 ,3 ,130 m²,"1,7 M"
617,BISSMILLAH JUAL RUMAH TYPE 72/100 LOKASI STRATEGIS,"Jln raya banjaran - bojong malaka, Baleendah, Bandung, Jawa Barat",4 ,2 ,72 m²,"275,007777 jt"
618,Bumi Adipura,"Jl. Gedebage, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",2 ,1 ,65 m²,570 jt
619,Jual rumah murah Summarecon,"Cynthia, Gedebage, Bandung, Jawa Barat",4 ,3 ,105 m²,"2,5 M"
620,"Jual rumah modern, Summarecon","Jl Amanda, Gedebage, Bandung, Jawa Barat",4 ,4 ,132 m²,"2,6 M"
621,Jual rumah Cynthia Summarecon Bandung,"Cynthia, Gedebage, Bandung, Jawa Barat",2 ,2 ,92 m²,2 M
622,"Jual rumah murah Dayana, Summarecon Bandung","Jl Dayana, Gedebage, Bandung, Jawa Barat",2 ,2 ,75 m²,"1,2 M"
623,Jual Rumah Baru Cluster Emily di Summarecon Bandung,"Emily, Gedebage, Bandung, Jawa Barat",4 ,3 ,252 m²,"5,4 M"
624,Jual Rumah Baru di Cluster Flora Summarecon Bandung,"Jl flora, Gedebage, Bandung, Jawa Barat",3 ,2 ,90 m²,"1,9 M"
625,"Jual Rumah Murah di Summarecon, Cluster Dayana","Dayana, Gedebage, Bandung, Jawa Barat",2 ,2 ,54 m²,"1,1 M"
626,"Jual rumah murah modern minimalis, Summarecon","Jl Dayana, Gedebage, Bandung, Jawa Barat",2 ,2 ,75 m²,"1,7 M"
627,"Jual Rumah di Cluster Cynthia Summarecon Bandung, Bonus AC, Gordyn, Kulkas","Cynthia, Gedebage, Bandung, Jawa Barat",2 ,2 ,69 m²,"1,8 M"
628,Dijual Rumah di Cluster Cynthia 8 Premium  Summarecon Bandung,"Cynthia, Gedebage, Bandung, Jawa Barat",3 ,3 ,142 m²,"3,1 M"
629,Gland Ciwastra Park Cluster Morinda,"Jl alam raya ciwastra, Ciwastra, Bandung, Jawa Barat",2 ,1 ,40 m²,523 jt
630,GLAND CIWASTRA PARK BUAHBATU,"Jalan Ciwastra, Margacinta, Bandung, Jawa Barat",3 ,1 ,47 m²,593 jt
631,Ciwastra Park,"Jalan Alam Raya, Ciwastra, Bandung, Jawa Barat",3 ,2 ,50 m²,681 jt
632,Gland Ciwastra Park Cluster Morinda,"Jl alam raya ciwastra, Ciwastra, Bandung, Jawa Barat",2 ,1 ,40 m²,"523,5 jt"
633,Jual Rumah Cluster Ter Exclusive di Summarecon Bandung,"Emily, Gedebage, Bandung, Jawa Barat",2 ,2 ,179 m²,"4,5 M"
634,Jual Rumah Compact dan Nyaman di Summarecon,"Gedebage, Bandung, Jawa Barat",2 ,2 ,66 m²,"1,3 M"
635,"Rumah type premium siap huni, Summarecon","Gedebage, Bandung, Jawa Barat",5 ,4 ,235 m²,"6,75 M"
636,Jual Rumah Minimalis di Cluster Dayana Summarecon,"Dayana, Gedebage, Bandung, Jawa Barat",2 ,2 ,71 m²,"1,9 M"
637,Jual Rumah Murah Cluster Cynthia di Summarecon,"Cynthia, Gedebage, Bandung, Jawa Barat",4 ,3 ,150 m²,"2,15 M"
638,Rumah Dijual Summarecon Bandung gedebage,"Gedebage, Bandung, Jawa Barat",4 ,2 ,102 m²,"2,5 M"
639,"Jual Rumah Murah Baru di Summarecon, Cluster Chyntia","Chyntia, Gedebage, Bandung, Jawa Barat",2 ,2 ,60 m²,"1,8 M"
640,"Jual Rumah Keren Termurah, Desain Minimalis Modern Summarecon Bandung","Jl Flora, Gedebage, Bandung, Jawa Barat",4 ,4 ,127 m²,"2,5 M"
641,Jual rumah semi furnish di Cluster Amanda Summarecon,"Jl Amanda, Gedebage, Bandung, Jawa Barat",3 ,3 ,158 m²,4 M
642,Jual Rumah Lux Mewah View Gunung dan Danau di Summarecon Bandung,"Jl Emily, Gedebage, Bandung, Jawa Barat",4 ,3 ,248 m²,5 M
643,"Jual rumah murah adem dan nyaman, Summarecon","Jl Dayana, Gedebage, Bandung, Jawa Barat",4 ,2 ,104 m²,"1,9 M"
644,"Jual rumah dekat danau, Summarecon","Jl Dayana, Gedebage, Bandung, Jawa Barat",3 ,2 ,65 m²,"1,6 M"
645,Rumah Murah Berkualitas Dekat Kopo Katapang Bandung Bebas Banjir,"Jl. Cicangkudu Dekat Lanud Sulaiman, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,36 m²,165 jt
646,RUMAH DEKAT PUSAT KOTA BANDUNG FULL FURNISHED,"Jl.cicangkudu, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
647,dekat kota Bandung Perumahan Bumi Cipta Asri,"Katapang cicangkudu Sukamukti Kab Bandung, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
648,Taman Cibaduyut Indah,"Jl. Raya Cibaduyut, Cibaduyut, Bandung, Bojongloa Kidul, Bandung, Jawa Barat",2 ,1 ,50 m²,300 jt
649,Permata Buah Batu,"Jl . Ciganitri, Cijaura (Margasenang), Buah Batu, Buahbatu, Bandung, Jawa Barat",3 ,2 ,50 m²,300 jt
650,Istana Mekar Wangi,"Jl Jl. Mekar Sari, Mekarwangi, Bojong Loa Kidul, Mekar Wangi, Bandung, Jawa Barat",6 ,5 ,925 m²,16 M
651,Setrasari,"Setrasari, Setrasari, Bandung, Jawa Barat",3 ,2 ,300 m²,"7,8 M"
652,Di jual Cepat Rumah Butuh Uang di Bilabong,"Soekarno Hatta, Soekarno Hatta, Bandung, Jawa Barat",3 ,2 ,70 m²,899 jt
653,"Jual cepat , Murah Komplek Tubagus ismail  Lux jarang ada harga 2 M an. .siap huni","Bandung Utara, Bandung, Jawa Barat",6 ,4 ,200 m²,"2,3 M"
654,"Jarang ada! Komplek Griya Asri Lestari Gedebage harga 300 jutaan, Murahh","Gedebage,dkt Summarecon, Bandung Timur, Bandung, Jawa Barat",2 ,1 ,53 m²,390 jt
655,TURUN HARGA RUMAH LUX di Turangga dekat Trans Studio,"Turangga, Bandung, Jawa Barat",7 ,5 ,550 m²,"6,7 M"
656,Perumahan dekat Lanud Sulaiman & Tol Seroja Pusat Kota Bandung,"Katapang Cicangkudu Sukamukti Kab Bandung, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,120 jt
657,PROMO RUMAH MURAH DI BULAN RAMADHAN,"Jl.cicangkudu trsn Cibaduyut, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,145 jt
658,Perumahan murah bebas banjir di Bandung Selatan,"Jalan. Cicangkudu, Katapang, Bandung, Jawa Barat",2 ,1 ,21 m²,95 jt
659,Hunian Paling Laris di Bandung Selatan Dekat Gerbang Tol,"Sukamukti, Katapang, Bandung, Jawa Barat",3 ,1 ,45 m²,200 jt
660,DIJUAL RUMAH MODERN LUX BERNUANSA TAMAN FULLY FURNISHED DI DAGO RESORT BANDUNG,"Dago, Bandung, Jawa Barat",5 ,4 ,438 m²,10 M
661,Kota Baru Parahyangan,"6 Jalan Panyawangan Kav 6-B, Kota Baru Parahyangan, Bandung, Jawa Barat",3 ,3 ,75 m²,900 jt
662,Batununggal Indah Estate,"Jl. Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",4 ,4 ,250 m²,"3,95 M"
663,Murah rumah mewah di komplek elite dago resort dago bandung utara,"Dago tubagus ismail cigadung, Bandung Utara, Bandung, Jawa Barat",5 ,4 ,350 m²,"5,5 M"
664,Dijual rumah baru di cibiru dekat kampus UPI dan UIN,"Cibiru hilir, Cibiru, Bandung, Jawa Barat",3 ,2 ,70 m²,565 jt
665,Dijual rumah baru di Cibiru Bandung harga 425jt all in,"Cibiru, Bandung, Jawa Barat",2 ,1 ,45 m²,425 jt
666,Perumahan Di Dago Bandung,"Summer Hills Dago, Dago, Bandung, Jawa Barat",4 ,3 ,150 m²,"2,359 M"
667,Rumah Siap Huni Di Batununggal Jelita Bandung,"batununggal, Batununggal, Bandung, Jawa Barat",3 ,2 ,71 m²,"2,35 M"
668,Murah Rumah Baru Soreang Dekat Tol Soreang,"Soreang, Soreang, Bandung, Jawa Barat",2 ,2 ,45 m²,430 jt
669,Hanya 1 Unit Jual Cepat! Rumah Baru Dekat Tol Soreang,"soreang, Soreang, Bandung, Jawa Barat",2 ,2 ,45 m²,430 jt
670,Perumahan Riung bandung,"Riung bandung, Rancasari, Bandung, Jawa Barat",2 ,1 ,98 m²,465 jt
671,CLUSTER FULL FASILITAS DAN BERKUALITAS PROMO MURAH MERIAH LEBAR JALAN 7 METER HARGA MULAI 135JTAAN,"Jl sukamukti katapang, soreang, Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,150 jt
672,Surapati core,"Jalan padasuka 082214555520, Asia Afrika, Bandung, Jawa Barat",3 ,2 ,62 m²,"1,2987 M"
673,Katapang,"Katapang, Bandung, Jawa Barat",2 ,1 ,36 m²,525 jt
674,Rumah Baru Nayapati Residence Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung, Jawa Barat",4 ,3 ,196 m²,"5,3 M"
675,Rumah Adem di Kota Baru Parahyangan Dekat IKEA,"Kota Baru Parahyangan, Bandung, Jawa Barat",4 ,4 ,265 m²,"6,4 M"
676,RUMAH BARU DAN MEWAH DI HEGARMANAH BANDUNG,"hegarmanah, Setiabudi, Bandung, Jawa Barat",4 ,4 ,1000 m²,"48,9 M"
677,Jual Rumah bagus di jln sudirman,"Jendral sudirman, Sudirman, Bandung, Jawa Barat",4 ,2 ,350 m²,"7,5 M"
678,Dijual Rumah Fully Furnished di Setramurni,"Jl Setramurni, Setra Murni, Bandung, Jawa Barat",3 ,3 ,250 m²,"4,5 M"
679,Rumah Murah Bandung,"Jl. Soreang-Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,21 m²,115 jt
680,Pilar Tanjungsari,"Jl. Soreang-Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,30 m²,125 jt
681,Rumah Murah Soreang,"Jl. Soreang-Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",2 ,1 ,36 m²,150 jt
682,Termurah Pilar Tanjungsari,"Jl. Soreang-Banjaran Ds. Tanjungsari, Bandung Selatan, Bandung, Jawa Barat",4 ,1 ,70 m²,300 jt
683,Soreang,"Jl. Soreang-Banjaran Ds. Tanjungsari, Margahayu, Bandung, Jawa Barat",2 ,1 ,36 m²,150 jt
684,Cicaheum,"Mandalajati, Bandung, Jawa Barat",3 ,2 ,62 m²,"1,062 M"
685,Soreang Residence,"Jl Gandasari, Katapang, Katapang, Bandung, Jawa Barat",2 ,1 ,45 m²,270 jt
686,Sarimanah Raya,"Rumah di jl.Sarimanah Raya (sari jadi) Bandung, Sarijadi, Bandung, Jawa Barat",3 ,2 ,126 m²,3 M
687,Cafe Dan Villa Ciwidey Jalan Raya Bandung,"Rancabali, Bandung, Jawa Barat",4 ,4 ,221 m²,"4,5 M"
688,Rumah Sejuk SHM View kota Bandung Fasilitas Kolam Renang Strategis 15 Mnt Exit Tol,"bandung, Lembang Cibodas, Bandung, Jawa Barat",2 ,2 ,98 m²,"1,790000001 M"
689,SEJUK & DINGIN. .Dipasarkan hunian premium modern panorama alam pegunungan exclusive Bandung,"Bandung, Dago, Bandung, Jawa Barat",2 ,2 ,98 m²,"1,781000001 M"
690,Rumah strategis di pinggir jalan area Srimahi cocok untuk usaha,"Bkr Kembar, Bandung, Jawa Barat",4 ,2 ,170 m²,"1,85 M"
691,Summarecon Bandung,"Rancabolang, Gedebage, Kota Bandung, Jawa Barat, Gedebage, Bandung, Jawa Barat",2 ,2 ,92 m²,"1,9 M"
692,Sukup Baru,"Jl Raya Ujung Berung, Pasir Endah, Ujung Berung, Ujung Berung, Bandung, Jawa Barat",2 ,8 ,50 m²,499 jt
693,Pesona bumi paniisan,"jln jatimekar kp paniisan no 6 rancamulya, Pameungpeuk, Bandung, Jawa Barat",2 ,1 ,40 m²,175 jt
694,Kopo Permai 2,". Jl. Raya Cibaduyut, Kopo, Bandung, Jawa Barat",3 ,2 ,170 m²,"1,475 M"
